frequency_hz,direct_adc_int16,filtered_adc_int16,direct_rms_uint16,filtered_rms_uint16,direct_rms_float,filtered_rms_float
1880,-18620,17075,16720,16752,16720.3996961576,16751.8921771874
1900,21689,-21857,16684,16716,16683.7764970894,16716.1912523051
1920,-1748,2030,16699,16720,16698.5956869072,16720.2885675744
1940,-19956,20245,16718,16747,16717.9541577303,16746.6719984722
1960,20399,-19918,16681,16708,16681.0238330022,16708.4462636831
1980,812,-2777,16702,16726,16702.4678487572,16725.6077833267
2000,-21071,22524,16715,16738,16714.8809009359,16737.6842917397
2020,18866,-17165,16679,16703,16679.3149790441,16703.0284527656
2040,3373,-7423,16706,16729,16706.2516254559,16729.4440092722
2060,-21938,23842,16711,16726,16711.3284137891,16726.2434884703
2080,17119,-13706,16679,16701,16678.5386099348,16700.68413273
2100,5910,-11699,16710,16731,16709.573461372,16730.8581351343
2120,-22582,24080,16707,16714,16707.4613244928,16713.9900760838
2140,15162,-9641,16679,16701,16678.71204969,16700.7412270229
2160,8401,-15476,16712,16730,16712.2675444067,16729.6097024085
2180,-22959,23269,16704,16702,16703.5206242027,16702.1175402367
2200,13036,-5138,16680,16703,16679.7628377763,16702.9249247986
2220,10787,-18584,16714,16725,16714.2494490924,16725.2295013054
2240,-23093,21430,16700,16692,16699.6128376379,16692.3658246656
2260,10754,-366,16682,16706,16681.5285726757,16706.4613796602
2280,13076,-20947,16716,16718,16715.5798345094,16718.4834194211
2300,-22977,18660,16696,16686,16695.7595393545,16685.506594144
2320,8370,4503,16684,16710,16684.0663033711,16709.7806070149
2340,15214,-22471,16716,16710,16716.1313094372,16709.9880772912
2360,-22610,15114,16692,16682,16692.2300728565,16682.0661086193
2380,5890,9216,16687,16712,16686.9631874098,16712.3730488324
