frequency_hz,direct_i_int16,direct_q_int16,filtered_i_int16,filtered_q_int16,direct_iq_magnitude,filtered_iq_magnitude
49540,4266,-10995,-5,-5,11793.5906745995,7.07106781186548
49560,4266,-10998,-5,-5,11796.3875826458,7.07106781186548
49580,4268,-10997,-5,-5,11796.1787456786,7.07106781186548
49600,4266,-10996,-5,-4,11794.5229661907,6.40312423743285
49620,4266,-10998,-5,-4,11796.3875826458,6.40312423743285
49640,4268,-10996,-6,-4,11795.2465001796,7.21110255092798
49660,4266,-10996,-5,-4,11794.5229661907,6.40312423743285
49680,4266,-10998,-5,-3,11796.3875826458,5.8309518948453
49700,4268,-10996,-5,-3,11795.2465001796,5.8309518948453
49720,4265,-10996,-5,-3,11794.1613097329,5.8309518948453
49740,4267,-10998,-5,-3,11796.7492556212,5.8309518948453
49760,4268,-10996,-5,-2,11795.2465001796,5.3851648071345
49780,4265,-10996,-5,-2,11794.1613097329,5.3851648071345
49800,4267,-10998,-5,-2,11796.7492556212,5.3851648071345
49820,4268,-10995,-5,-2,11794.3142657808,5.3851648071345
49840,4265,-10997,-5,-1,11795.0936410018,5.09901951359278
49860,4267,-10998,-5,-1,11796.7492556212,5.09901951359278
49880,4267,-10995,-4,-1,11793.9524333448,4.12310562561766
49900,4265,-10997,-4,-1,11795.0936410018,4.12310562561766
49920,4268,-10998,-4,-1,11797.1110022751,4.12310562561766
49940,4267,-10995,-4,-1,11793.9524333448,4.12310562561766
49960,4265,-10997,-4,0,11795.0936410018,4
49980,4268,-10998,-3,0,11797.1110022751,3
50000,4267,-10995,-3,0,11793.9524333448,3
50020,4265,-10998,-3,0,11796.0259833556,3
50040,4268,-10997,-3,0,11796.1787456786,3
50060,4266,-10995,-2,0,11793.5906745995,2
50080,4265,-10998,-2,0,11796.0259833556,2
50100,4268,-10997,-2,0,11796.1787456786,2
50120,4266,-10995,-2,0,11793.5906745995,2
50140,4266,-10998,-1,0,11796.3875826458,1
50160,4268,-10997,-1,0,11796.1787456786,1
50180,4266,-10995,-1,0,11793.5906745995,1
50200,4266,-10998,-1,0,11796.3875826458,1
50220,4268,-10996,0,0,11795.2465001796,0
50240,4265,-10996,0,0,11794.1613097329,0
50260,4266,-10998,0,0,11796.3875826458,0
50280,4268,-10996,0,0,11795.2465001796,0
50300,4265,-10996,0,0,11794.1613097329,0
50320,4267,-10998,1,0,11796.7492556212,1
50340,4268,-10996,1,-1,11795.2465001796,1.4142135623731
50360,4265,-10996,1,-1,11794.1613097329,1.4142135623731
50380,4267,-10998,1,-1,11796.7492556212,1.4142135623731
50400,4268,-10996,2,-1,11795.2465001796,2.23606797749979
50420,4265,-10997,2,-1,11795.0936410018,2.23606797749979
50440,4267,-10998,2,-1,11796.7492556212,2.23606797749979
50460,4267,-10995,2,-2,11793.9524333448,2.82842712474619
50480,4265,-10997,2,-2,11795.0936410018,2.82842712474619
50500,4267,-10998,2,-2,11796.7492556212,2.82842712474619
50520,4267,-10995,2,-2,11793.9524333448,2.82842712474619
50540,4265,-10997,2,-2,11795.0936410018,2.82842712474619
50560,4268,-10998,2,-3,11797.1110022751,3.60555127546399
50580,4267,-10995,3,-3,11793.9524333448,4.24264068711928
50600,4265,-10997,3,-3,11795.0936410018,4.24264068711928
50620,4268,-10997,2,-3,11796.1787456786,3.60555127546399
50640,4266,-10995,3,-4,11793.5906745995,5
50660,4266,-10998,2,-4,11796.3875826458,4.47213595499958
50680,4268,-10997,3,-4,11796.1787456786,5
50700,4266,-10995,2,-4,11793.5906745995,4.47213595499958
50720,4266,-10998,2,-5,11796.3875826458,5.3851648071345
50740,4268,-10997,2,-5,11796.1787456786,5.3851648071345
50760,4266,-10996,2,-5,11794.5229661907,5.3851648071345
50780,4266,-10998,2,-5,11796.3875826458,5.3851648071345
50800,4268,-10996,2,-6,11795.2465001796,6.32455532033676
50820,4266,-10996,2,-6,11794.5229661907,6.32455532033676
50840,4266,-10998,2,-6,11796.3875826458,6.32455532033676
50860,4268,-10996,2,-6,11795.2465001796,6.32455532033676
50880,4265,-10996,1,-6,11794.1613097329,6.08276253029822
50900,4267,-10998,1,-7,11796.7492556212,7.07106781186548
50920,4268,-10996,1,-7,11795.2465001796,7.07106781186548
50940,4265,-10996,1,-7,11794.1613097329,7.07106781186548
